iPoem,Poem,nReviews,lastDate,sinceLastDate
1,咏鹅,9.0,2020-01-18,46.0
2,元日,9.0,2020-02-17,16.0
3,忆江南,9.0,2020-02-26,7.0
4,春夜喜雨,9.0,2020-01-15,49.0
5,春晓,9.0,2020-03-04,0.0
6,泊船瓜洲,9.0,2020-02-29,4.0
7,回乡偶书,9.0,2020-03-01,3.0
8,咏柳,9.0,2020-02-26,7.0
9,登鹳雀楼,9.0,2020-01-19,45.0
10,赠汪伦,9.0,2020-02-17,16.0
11,滁州西涧,8.0,2020-01-07,57.0
12,游子吟,8.0,2020-01-11,53.0
13,赋得古草原送别,9.0,2020-03-04,0.0
14,夜雨寄北,9.0,2020-03-01,3.0
15,乌衣巷,8.0,2020-01-04,60.0
16,过华清宫,8.0,2020-01-04,60.0
17,寒食,9.0,2020-03-01,3.0
18,江雪,9.0,2020-03-03,1.0
19,相思,9.0,2020-02-29,4.0
20,静夜思,9.0,2020-01-18,46.0
21,水调歌头-明月几时有,8.0,2020-01-11,53.0
22,汉乐府-江南,8.0,2020-01-14,50.0
23,送孟浩然之广陵,8.0,2020-02-13,20.0
24,下江陵,8.0,2020-01-13,51.0
25,望庐山瀑布,8.0,2020-02-13,20.0
26,芙蓉楼送辛渐,8.0,2020-02-13,20.0
27,闺怨,8.0,2020-03-03,1.0
28,山居秋暝,8.0,2020-02-13,20.0
29,鹿柴,8.0,2020-02-26,7.0
30,渔歌子,8.0,2020-03-01,3.0
31,惠崇春江晓景,8.0,2020-03-03,1.0
32,悯农,8.0,2020-03-03,1.0
33,听弹琴,7.0,2020-01-10,54.0
34,逢雪宿芙蓉山主人,7.0,2020-01-13,51.0
35,春思,7.0,2020-01-11,53.0
36,宿建德江,7.0,2020-01-13,51.0
37,竹里馆,7.0,2020-01-13,51.0
38,鸟鸣涧,7.0,2020-01-15,49.0
39,画,7.0,2020-01-14,50.0
40,黄鹤楼,7.0,2020-02-13,20.0
41,枫桥夜泊,7.0,2020-02-17,16.0
42,塞下曲,7.0,2020-02-17,16.0
43,秋夕,7.0,2020-02-29,4.0
44,问刘十九,7.0,2020-02-29,4.0
45,滕王阁诗,6.0,2020-01-19,45.0
46,金缕衣,6.0,2020-02-23,10.0
47,无题（李商隐-昨夜星辰昨夜风）,6.0,2020-02-23,10.0
48,敕勒歌,5.0,2020-02-13,20.0
49,饮酒二十首其五,5.0,2020-02-13,20.0
50,凉州词（王翰）,5.0,2020-02-13,20.0
51,凉州词（王之涣）,4.0,2020-02-11,22.0
52,渡汉江,4.0,2020-02-11,22.0
53,登幽州台歌,4.0,2020-02-11,22.0
54,赠范晔,4.0,2020-02-11,22.0
55,山中送别,3.0,2020-02-11,22.0
56,望月怀远,4.0,2020-03-04,0.0
57,从军行其四,4.0,2020-03-04,0.0
58,杂诗三首其二-王维,3.0,2020-02-10,23.0
59,送元二使安西,3.0,2020-02-11,22.0
60,九月九日忆山东兄弟,3.0,2020-02-26,7.0
61,春江花月夜,2.0,2020-02-23,10.0
62,木兰诗,2.0,2020-02-23,10.0
