iPoem,Poem,nReviews,lastDate,sinceLastDate
1,咏鹅,10.0,2020-06-01,516.0
2,元日,10.0,2020-06-08,509.0
3,忆江南,10.0,2020-06-21,496.0
4,春夜喜雨,10.0,2020-06-01,516.0
5,春晓,10.0,2020-06-21,496.0
6,泊船瓜洲,10.0,2020-06-21,496.0
7,回乡偶书,10.0,2020-06-21,496.0
8,咏柳,10.0,2020-06-21,496.0
9,登鹳雀楼,10.0,2020-06-01,516.0
10,赠汪伦,10.0,2020-06-08,509.0
11,滁州西涧,9.0,2020-06-01,516.0
12,游子吟,9.0,2020-06-01,516.0
13,赋得古草原送别,10.0,2020-06-21,496.0
14,夜雨寄北,10.0,2020-06-21,496.0
15,乌衣巷,9.0,2020-06-01,516.0
16,过华清宫,9.0,2020-06-01,516.0
17,寒食,10.0,2020-06-21,496.0
18,江雪,10.0,2020-06-21,496.0
19,相思,10.0,2020-06-21,496.0
20,静夜思,10.0,2020-06-01,516.0
21,水调歌头-明月几时有,9.0,2020-06-01,516.0
22,汉乐府-江南,9.0,2020-06-01,516.0
23,送孟浩然之广陵,9.0,2020-06-01,516.0
24,下江陵,9.0,2020-06-01,516.0
25,望庐山瀑布,9.0,2020-06-04,513.0
26,芙蓉楼送辛渐,9.0,2020-06-04,513.0
27,闺怨,9.0,2020-06-11,506.0
28,山居秋暝,9.0,2020-06-04,513.0
29,鹿柴,9.0,2020-06-08,509.0
30,渔歌子,9.0,2020-06-11,506.0
31,惠崇春江晓景,9.0,2020-06-11,506.0
32,悯农,9.0,2020-06-11,506.0
33,听弹琴,8.0,2020-05-30,518.0
34,逢雪宿芙蓉山主人,8.0,2020-05-30,518.0
35,春思,8.0,2020-05-30,518.0
36,宿建德江,8.0,2020-06-01,516.0
37,竹里馆,8.0,2020-05-30,518.0
38,鸟鸣涧,8.0,2020-06-01,516.0
39,画,8.0,2020-06-01,516.0
40,黄鹤楼,8.0,2020-06-01,516.0
41,枫桥夜泊,8.0,2020-06-01,516.0
42,塞下曲,8.0,2020-06-01,516.0
43,秋夕,8.0,2020-06-04,513.0
44,问刘十九,8.0,2020-06-08,509.0
45,滕王阁诗,7.0,2020-05-26,522.0
46,金缕衣,7.0,2020-06-01,516.0
47,无题（李商隐-昨夜星辰昨夜风）,7.0,2020-06-01,516.0
48,敕勒歌,6.0,2020-05-26,522.0
49,饮酒二十首其五,6.0,2020-05-26,522.0
50,凉州词（王翰）,6.0,2020-05-26,522.0
51,凉州词（王之涣）,5.0,2020-05-26,522.0
52,渡汉江,5.0,2020-05-26,522.0
53,登幽州台歌,6.0,2021-10-30,0.0
54,赠范晔,6.0,2021-10-30,0.0
55,山中送别,5.0,2021-10-30,0.0
56,望月怀远,5.0,2020-05-26,522.0
57,从军行其四,6.0,2021-10-30,0.0
58,杂诗三首其二-王维,5.0,2021-10-30,0.0
59,送元二使安西,5.0,2021-10-30,0.0
60,九月九日忆山东兄弟,5.0,2021-10-30,0.0
61,春江花月夜,5.0,2021-10-30,0.0
62,木兰诗,5.0,2021-10-30,0.0
